Primer Autor	Año Publicación	Tipo Producto	Journal	
Dolgopolovas, V.	2022	JOUR	No encontrado	
Huang, W.	2022	CONF	No encontrado	
Sullivan, F.R.	2022	CONF	No encontrado	
Zehring, M.	2022	JOUR	No encontrado	
Agarwal, B.	2022	CONF	No encontrado	
Calor, S.	2022	CONF	No encontrado	
Wesolowski, B.C.	2022	BOOK	No encontrado	
Huang, J.	2022	CONF	No encontrado	
Dumitrache, A.	2022	CONF	No encontrado	
Bosgoed, L.	2022	CONF	No encontrado	
Lecca, P.	2022	JOUR	No encontrado	
No encontrado	2022	CONF	No encontrado	
Pi, X.	2022	CONF	No encontrado	
Mena-Lorca, A.	2022	CHAP	No encontrado	
McGill, M.M.	2022	CONF	No encontrado	
Do, J.	2022	JOUR	No encontrado	
Ertas, A.	2022	JOUR	No encontrado	
Fernández-Álvarez, Á.J.	2022	JOUR	No encontrado	
No encontrado	2022	CONF	No encontrado	
Zhang, S.	2022	CONF	No encontrado	
Koole, M.	2022	JOUR	No encontrado	
Lin, T.-J.	2022	CONF	No encontrado	
Hsu, T.-C.	2022	JOUR	No encontrado	
Zapata-Cáceres, M.	2022	CONF	No encontrado	
Kim, J.	2022	CONF	No encontrado	
Duong, T.N.B.	2022	CONF	No encontrado	
Zhang, S.	2022	CONF	No encontrado	
Cano, S.	2022	JOUR	No encontrado	
Zakwandi, R.	2022	CONF	No encontrado	
Stuikys, V.	2022	JOUR	No encontrado	
Nijenhuis-Voogt, J.	2022	CONF	No encontrado	
Tsai, M.-J.	2022	JOUR	No encontrado	
Hilppo, J.	2022	CHAP	No encontrado	
Wang, J.	2022	CONF	No encontrado	
Ung, L.-L.	2022	JOUR	No encontrado	
Wang, J.	2022	CONF	No encontrado	
Israel-Fishelson, R.	2022	CONF	No encontrado	
Artzi, I.	2022	CHAP	No encontrado	
Puster, E.	2022	CHAP	No encontrado	
Sosa, R.	2022	CHAP	No encontrado	
Feng, X.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
An, M.	2022	CONF	No encontrado	
Gesquiere, N.	2022	CONF	No encontrado	
Jiang, S.	2022	JOUR	No encontrado	
Karadağ, D.	2022	JOUR	No encontrado	
Li, J.-C.	2022	JOUR	No encontrado	
Jansen, M.	2022	CONF	No encontrado	
Niousha, R.	2022	CONF	No encontrado	
Arık, M.	2022	JOUR	No encontrado	
Ragonis, N.	2022	CONF	No encontrado	
Adee, R.	2022	JOUR	No encontrado	
Kaup, C.	2022	JOUR	No encontrado	
Tsalis, T.	2022	JOUR	No encontrado	
Luo, F.	2022	CONF	No encontrado	
Zhang, X.	2022	CONF	No encontrado	
Yin, S.X.	2022	CONF	No encontrado	
Wang, J.	2022	JOUR	No encontrado	
Volpentesta, T.	2022	CONF	No encontrado	
Villalba-Condori, K.	2022	CONF	No encontrado	
Kong, S.C.	2022	CONF	No encontrado	
Arık, M.	2022	JOUR	No encontrado	
Suriyaarachchi, H.	2022	CONF	No encontrado	
Iwata, M.	2022	CONF	No encontrado	
Koleszar, V.	2022	CONF	No encontrado	
Yadav, A.	2022	CONF	No encontrado	
Fortis, A.-E.	2022	CONF	No encontrado	
Meneses, H.	2022	CONF	No encontrado	
Zhang, X.	2022	CONF	No encontrado	
Costa, R.	2022	CONF	No encontrado	
Vourletsis, I.	2022	CONF	No encontrado	
McKenzie, S.	2022	CHAP	No encontrado	
Proctor, C.	2022	CHAP	No encontrado	
Collins, K.M.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Fradi, B.	2022	CONF	No encontrado	
Ali, I.	2022	BOOK	No encontrado	
Aalbergsjø, S.G.	2022	JOUR	No encontrado	
Munoz, A.M.M.	2022	CONF	No encontrado	
Zhao, F.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Quezada, L.	2022	CONF	No encontrado	
De Oliveira Costa Junior, A.	2022	CONF	No encontrado	
Cai, H.	2022	CONF	No encontrado	
Paucar-Curasma, R.	2022	JOUR	No encontrado	
Snefjella, B.	2022	CONF	No encontrado	
Ye, X.	2022	CHAP	No encontrado	
Manavis, A.	2022	JOUR	No encontrado	
Santos, I.	2022	CONF	No encontrado	
Ghosh, S.	2022	CONF	No encontrado	
Zhang, S.	2022	CONF	No encontrado	
Xu, Z.	2022	BOOK	No encontrado	
Tikkanen, R.	2022	JOUR	No encontrado	
Handayani, R.D.	2022	CONF	No encontrado	
Yang, D.	2022	CONF	No encontrado	
Yuan, M.	2022	CHAP	No encontrado	
Chen, S.-W.	2022	CONF	No encontrado	
Paucar-Curasma, R.	2022	CONF	No encontrado	
Das, S.	2022	CHAP	No encontrado	
Moller, F.	2022	CONF	No encontrado	
Kim, G.	2022	CONF	No encontrado	
Marupudi, V.	2022	CONF	No encontrado	
Ramteke, R.J.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Guggemos, J.	2022	CONF	No encontrado	
Hegade, P.	2022	JOUR	No encontrado	
Wang, S.	2022	CHAP	No encontrado	
Sharma, Y.C.	2022	CONF	No encontrado	
Okur, E.	2022	CONF	No encontrado	
Korbak, T.	2022	CONF	No encontrado	
Díaz, J.	2022	CONF	No encontrado	
van Vugt, M.	2022	JOUR	No encontrado	
Chuang, C.-W.	2022	CONF	No encontrado	
Rogovchenko, S.	2022	CONF	No encontrado	
Andrzejewska, M.	2022	JOUR	No encontrado	
Gutiérrez, B.J.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Hao, T.	2022	CONF	No encontrado	
Amir, I.	2022	JOUR	No encontrado	
Jeong, H.	2022	CONF	No encontrado	
Kravik, R.	2022	JOUR	No encontrado	
Tong, Y.	2022	CONF	No encontrado	
Andersen, R.	2022	JOUR	No encontrado	
Gomes, C.A.	2022	CONF	No encontrado	
Aljayyousi, M.I.	2022	JOUR	No encontrado	
Wang, C.-H.	2022	CONF	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Beatriz, L.A.	2022	CONF	No encontrado	
Deng, W.	2022	CONF	No encontrado	
Krzykawski, M.	2022	JOUR	No encontrado	
Sigayret, K.	2022	JOUR	No encontrado	
Wang, X.	2022	CONF	No encontrado	
Vinnervik, P.	2022	JOUR	No encontrado	
Nongkhai, L.N.	2022	CONF	No encontrado	
Boya-Lara, C.	2022	CONF	No encontrado	
Hösel, C.	2022	CONF	No encontrado	
Ding, M.	2022	CHAP	No encontrado	
Hernández Ruiz, I.	2022	CONF	No encontrado	
Havlaskova, T.	2022	CONF	No encontrado	
Sifakis, J.	2022	BOOK	No encontrado	
Ali, M.	2022	CONF	No encontrado	
Vartiainen, H.	2022	CONF	No encontrado	
Moallem, M.	2022	CONF	No encontrado	
Yang, Y.	2022	CONF	No encontrado	
Veronesi, I.	2022	CONF	No encontrado	
Rana, D.S.	2022	CONF	No encontrado	
Zhao, M.	2022	CONF	No encontrado	
Tang, S.	2022	CONF	No encontrado	
Hamidi, A.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Buchanan, S.A.	2022	CONF	No encontrado	
Berge, R.L.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Gosselar, A.	2022	CONF	No encontrado	
Thongpool, A.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Xu, Y.	2022	CONF	No encontrado	
Fu, X.	2022	CONF	No encontrado	
Gros, D.	2022	CONF	No encontrado	
Caballero-Gonzalez, Y.	2022	CONF	No encontrado	
Narayan, V.	2022	JOUR	No encontrado	
Xinogalos, S.	2022	CONF	No encontrado	
Perez, L.	2022	CHAP	No encontrado	
Herbert-Berger, K.G.	2022	CONF	No encontrado	
Pérez, D.F.P.	2022	JOUR	No encontrado	
Saloun, P.	2022	CONF	No encontrado	
Bernier, J.	2022	CONF	No encontrado	
Tsvetkova, M.S.	2022	CONF	No encontrado	
Kjallander, S.	2022	CONF	No encontrado	
Wael, A.	2022	CONF	No encontrado	
de Oliveira Lozada, C.	2022	CONF	No encontrado	
He, Y.	2022	JOUR	No encontrado	
Souza, I.M.L.	2022	CONF	No encontrado	
Lertlapnon, T.	2022	CONF	No encontrado	
No encontrado	2022	CHAP	No encontrado	
Fukui, M.	2022	CONF	No encontrado	
Stanković, R.	2022	CONF	No encontrado	
Laime-Choque, A.M.	2022	CONF	No encontrado	
Putra, Z.H.	2022	JOUR	No encontrado	
Ang, K.-C.	2022	CONF	No encontrado	
Rakhmawati, L.	2022	CONF	No encontrado	
Swanson, H.	2022	CONF	No encontrado	
Drivas, T.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Liu, J.	2022	CONF	No encontrado	
DiBlasi, J.	2022	CHAP	No encontrado	
Laurentiz, S.	2022	CHAP	No encontrado	
Falagán, D.H.	2022	CONF	No encontrado	
Trocado, A.	2022	CONF	No encontrado	
Liu, Z.	2022	CONF	No encontrado	
Ho, W.K.	2022	CONF	No encontrado	
Bowers, J.	2022	CONF	No encontrado	
Dimos, I.	2022	CONF	No encontrado	
Bernstein, D.	2022	CONF	No encontrado	
Chowdhury, B.	2022	CONF	No encontrado	
Barman, A.	2022	CONF	No encontrado	
Moreno-Sandoval, L.G.	2022	JOUR	No encontrado	
Rhodes, K.	2022	JOUR	No encontrado	
Lv, Y.	2022	CONF	No encontrado	
Sonsilphong, S.	2022	CONF	No encontrado	
Jain, G.	2022	CONF	No encontrado	
Huang, H.-S.	2022	CONF	No encontrado	
Davey, B.	2022	CONF	No encontrado	
Kim, J.	2022	CONF	No encontrado	
Musaeus, L.H.	2022	JOUR	No encontrado	
Møller, A.K.	2022	JOUR	No encontrado	
Snyder, C.	2022	CONF	No encontrado	
Worsley, M.	2022	CONF	No encontrado	
Wang, L.	2022	CONF	No encontrado	
Moraiti, I.	2022	JOUR	No encontrado	
Rocha, M.	2022	CONF	No encontrado	
Luterbach, K.J.	2022	BOOK	No encontrado	
Manavis, A.	2022	CONF	No encontrado	
Muchsini, B.	2022	JOUR	No encontrado	
Polasik, A.	2022	CONF	No encontrado	
Allan, S.	2022	CONF	No encontrado	
Minnoye, L.M.	2022	CONF	No encontrado	
Saunders, R.	2022	CHAP	No encontrado	
Chatziagapi, A.	2022	CONF	No encontrado	
More Valencia, R.A.	2022	JOUR	No encontrado	
Feng, X.	2022	CONF	No encontrado	
Jiménez, Ó.G.	2022	JOUR	No encontrado	
Mendoza Diaz, N.V.	2022	CONF	No encontrado	
Li, M.	2022	CONF	No encontrado	
Tamborg, A.L.	2022	JOUR	No encontrado	
Flood, V.J.	2022	CONF	No encontrado	
Peel, A.	2022	CONF	No encontrado	
Wang, W.-Y.	2022	JOUR	No encontrado	
Quintero-Manes, R.	2022	CONF	No encontrado	
Vandenberg, J.	2022	CONF	No encontrado	
Fonseca Silveira, R.	2022	CONF	No encontrado	
Edmonds, E.	2022	CHAP	No encontrado	
No encontrado	2022	CONF	No encontrado	
Rachmatullah, A.	2022	CONF	No encontrado	
Samuelsson, R.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Phatarametravorakul, W.	2022	CONF	No encontrado	
Hachmann, R.	2022	CONF	No encontrado	
Huang, J.	2022	CONF	No encontrado	
Rocca, R.	2022	CONF	No encontrado	
Dohn, N.B.	2022	CONF	No encontrado	
Mangili, F.	2022	CONF	No encontrado	
Cheng, Q.	2022	CONF	No encontrado	
Sümen, Ö.Ö.	2022	JOUR	No encontrado	
Sitarama, S.	2022	CONF	No encontrado	
Oji, M.	2022	JOUR	No encontrado	
Wu, S.	2022	CONF	No encontrado	
Debs, L.	2022	CONF	No encontrado	
Kanaan, M.	2022	CONF	No encontrado	
Pretelli, A.	2022	CONF	No encontrado	
Park, W.	2022	JOUR	No encontrado	
Basu, S.	2022	CONF	No encontrado	
Sermsri, N.	2022	JOUR	No encontrado	
Agarwal, J.	2022	CONF	No encontrado	
No encontrado	2022	CHAP	No encontrado	
Stollfuss, B.	2022	CONF	No encontrado	
Kalelİoğlu, F.	2022	JOUR	No encontrado	
Kaup, C.F.	2022	JOUR	No encontrado	
Juarez, E.C.	2022	CONF	No encontrado	
Mohammadi-Aragh, M.J.	2022	CONF	No encontrado	
Aulicino, A.	2022	CONF	No encontrado	
Hewitt, J.	2022	CONF	No encontrado	
Lundgren, E.	2022	JOUR	No encontrado	
Zhang, X.	2022	CONF	No encontrado	
Mandanici, M.	2022	CONF	No encontrado	
Bradford, A.	2022	CONF	No encontrado	
Zeng, M.	2022	JOUR	No encontrado	
Hassan, W.M.	2022	CONF	No encontrado	
Zhang, S.	2022	JOUR	No encontrado	
Lybarger, K.	2022	CONF	No encontrado	
Aminah, N.	2022	JOUR	No encontrado	
Liu, H.-C.	2022	CONF	No encontrado	
Murti, A.T.	2022	CONF	No encontrado	
Bott, T.E.	2022	CONF	No encontrado	
Keene, J.	2022	CONF	No encontrado	
Lai, A.-F.	2022	CONF	No encontrado	
Hu, P.	2022	CONF	No encontrado	
Hwu, W.W.	2022	CHAP	No encontrado	
Nurhayati, N.	2022	CONF	No encontrado	
Pluhár, Z.	2022	CONF	No encontrado	
Rottenhofer, M.	2022	CONF	No encontrado	
Karaca, Y.	2022	CHAP	No encontrado	
Masiulionytė-Dagienė, V.	2022	CONF	No encontrado	
Wang, S.	2022	JOUR	No encontrado	
Wu, W.-R.	2022	JOUR	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Singh, M.	2022	CONF	No encontrado	
Peracaula-Bosch, M.	2022	JOUR	No encontrado	
Li, M.	2022	CONF	No encontrado	
Al-Douri, F.A.	2022	JOUR	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Oliveira, J.F.	2022	CONF	No encontrado	
Léonard, M.	2022	CONF	No encontrado	
Sirimathep, K.	2022	CONF	No encontrado	
Bufasi, E.	2022	JOUR	No encontrado	
Karaca, Y.	2022	CHAP	No encontrado	
Tannitisataporn, G.	2022	CONF	No encontrado	
Du, H.	2022	CONF	No encontrado	
Suresh, A.	2022	CONF	No encontrado	
Ma, J.	2022	CONF	No encontrado	
Hudson‐smith, A.	2022	JOUR	No encontrado	
Alic, S.	2022	CONF	No encontrado	
Hwu, W.W.	2022	CHAP	No encontrado	
Nenner, C.	2022	CONF	No encontrado	
Fernandes, A.M.	2022	JOUR	No encontrado	
Akmam, A.	2022	CONF	No encontrado	
Cristina, L.C.C.	2022	JOUR	No encontrado	
Brieven, G.	2022	CONF	No encontrado	
Norman, U.	2022	CONF	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Hwu, W.W.	2022	CHAP	No encontrado	
Fergusson, A.	2022	JOUR	No encontrado	
Yi, X.	2022	CONF	No encontrado	
Maruyama, R.	2022	CONF	No encontrado	
Elshahawy, M.	2022	CHAP	No encontrado	
Toniolo, R.M.M.	2022	JOUR	No encontrado	
Klymenko, O.	2022	CONF	No encontrado	
Sevik, K.	2022	CONF	No encontrado	
Li, B.	2022	CONF	No encontrado	
Fernau, D.	2022	CONF	No encontrado	
Jamil, H.M.	2022	CONF	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Alvarado, L.	2022	CONF	No encontrado	
Umutlu, D.	2022	JOUR	No encontrado	
Fernández, E.A.	2022	CONF	No encontrado	
Trilles, S.	2022	CONF	No encontrado	
Demİr-Kaymak, Z.	2022	JOUR	No encontrado	
Saddoug, H.	2022	CONF	No encontrado	
Bubica, N.	2022	JOUR	No encontrado	
Kapan, A.	2022	CONF	No encontrado	
Vaníček, J.	2022	CONF	No encontrado	
Cropley, D.H.	2022	JOUR	No encontrado	
Trujillo-Cabezas, R.	2022	CONF	No encontrado	
Pedersen, B.K.M.K.	2022	CONF	No encontrado	
Yang, J.	2022	JOUR	No encontrado	
Steinmaurer, A.	2022	CONF	No encontrado	
Mohamad, D.	2022	CONF	No encontrado	
Ruest, N.	2022	JOUR	No encontrado	
Mohd, T.K.	2022	CONF	No encontrado	
Joseph, U.M.	2022	CONF	No encontrado	
Ding, X.	2022	CONF	No encontrado	
Ogegbo, A.A.	2022	JOUR	No encontrado	
No encontrado	2022	CONF	No encontrado	
Sabo, H.C.	2022	CONF	No encontrado	
Al-Mahmud, A.	2022	CONF	No encontrado	
Sharen, H.G.	2022	CONF	No encontrado	
Barrett, A.	2022	CONF	No encontrado	
Brandhofer, G.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Lorenz, R.	2022	JOUR	No encontrado	
Khayut, B.	2022	CONF	No encontrado	
Amri, S.	2022	JOUR	No encontrado	
Seckel, M.J.	2022	JOUR	No encontrado	
Sharma, G.	2022	JOUR	No encontrado	
Kryzhanovsky, G.A.	2022	CONF	No encontrado	
Pacheco-Portuguez, S.	2022	CONF	No encontrado	
Mayrhofer-Hufnagl, I.	2022	CHAP	No encontrado	
Marchetti, E.	2022	CONF	No encontrado	
Ismail, R.	2022	JOUR	No encontrado	
Patil, J.	2022	CONF	No encontrado	
Wang, H.-H.	2022	CONF	No encontrado	
No encontrado	2022	CONF	No encontrado	
Tisha, S.M.	2022	CONF	No encontrado	
Chang, C.-K.	2022	CONF	No encontrado	
Thabvithorn, C.	2022	CONF	No encontrado	
Stupurienė, G.	2022	CONF	No encontrado	
Kanaki, K.	2022	CHAP	No encontrado	
Valente, A.	2022	CONF	No encontrado	
Kuylen, M.	2022	JOUR	No encontrado	
Demir, K.	2022	CHAP	No encontrado	
Moreno-Leon, J.	2022	CONF	No encontrado	
Le Zhang, C.	2022	CHAP	No encontrado	
Das, O.	2022	CONF	No encontrado	
Luo, F.	2022	JOUR	No encontrado	
Tsuei, M.	2022	CONF	No encontrado	
Hwu, W.W.	2022	BOOK	No encontrado	
Fradi, B.	2022	CONF	No encontrado	
Ham, D.A.	2022	CHAP	No encontrado	
Bertrand, M.	2022	CHAP	No encontrado	
Pulimood, S.M.	2022	CONF	No encontrado	
Kilhamn, C.	2022	JOUR	No encontrado	
Lombardi, G.	2022	CHAP	No encontrado	
Park, H.J.	2022	JOUR	No encontrado	
de Jesus, Â.M.	2022	JOUR	No encontrado	
Papadakis, S.	2022	CHAP	No encontrado	
Altiok, S.	2022	CHAP	No encontrado	
Rainer, A.	2022	CONF	No encontrado	
Papadakis, S.	2022	CHAP	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Zhang, H.	2022	JOUR	No encontrado	
Johnson, M.	2022	CONF	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Surahman, E.	2022	CONF	No encontrado	
Hamilton, E.	2022	CHAP	No encontrado	
Zhang, W.	2022	CONF	No encontrado	
Pinto-Llorente, A.M.	2022	CHAP	No encontrado	
Glezou, K.V.	2022	CHAP	No encontrado	
Marcos, C.L.	2022	CHAP	No encontrado	
Zhu, Y.	2022	CONF	No encontrado	
Pombo, N.	2022	CONF	No encontrado	
Liu, Y.	2022	JOUR	No encontrado	
de Azevedo, G.T.	2022	JOUR	No encontrado	
Schneider, G.	2022	CHAP	No encontrado	
Eguchi, A.	2022	CHAP	No encontrado	
Oliveira, E.C.	2022	CONF	No encontrado	
Davidson, R.A.	2022	JOUR	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Rajani Shree, M.	2022	CONF	No encontrado	
Maruyama, R.	2022	CONF	No encontrado	
Kinner, T.	2022	CONF	No encontrado	
Datwani, K.	2022	CONF	No encontrado	
Kanaki, K.	2022	JOUR	No encontrado	
Ray, B.B.	2022	JOUR	No encontrado	
Martoglia, R.	2022	CONF	No encontrado	
Alam, A.	2022	CONF	No encontrado	
No encontrado	2022	BOOK	No encontrado	
Majeed, B.H.	2022	JOUR	No encontrado	
Nagy, B.	2022	JOUR	No encontrado	
Capelli, I.	2022	CONF	No encontrado	
Lepper, M.	2022	JOUR	No encontrado	
Kalogiannakis, M.	2022	CHAP	No encontrado	
Wang, H.	2022	JOUR	No encontrado	
Farmer, L.S.J.	2022	CHAP	No encontrado	
Maraschin, D.	2022	CONF	No encontrado	
Karmakar, A.	2022	CONF	No encontrado	
Angelopoulos, P.	2022	CHAP	No encontrado	
Garrigan, S.R.	2022	CHAP	No encontrado	
Gabatino, T.	2022	CONF	No encontrado	
Zaibon, S.B.	2022	CONF	No encontrado	
Calderon, J.F.	2022	CONF	No encontrado	
Kitagawa, M.	2022	CONF	No encontrado	
Munn, C.	2022	CHAP	No encontrado	
Loureiro, M.J.	2022	CHAP	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Groher, I.	2022	CONF	No encontrado	
Martoglia, R.	2022	CONF	No encontrado	
Özçınar, H.	2022	CHAP	No encontrado	
Laura-Ochoa, L.	2022	JOUR	No encontrado	
Ferilli, S.	2022	JOUR	No encontrado	
Suzuki, Y.	2022	CONF	No encontrado	
Saez-Lopez, J.-M.	2022	JOUR	No encontrado	
Pewkam, W.	2022	JOUR	No encontrado	
Legacy, C.	2022	JOUR	No encontrado	
Glezou, K.V.	2022	CHAP	No encontrado	
Castro, A.T.	2022	CHAP	No encontrado	
Alam, A.	2022	CONF	No encontrado	
Finke, S.	2022	JOUR	No encontrado	
Güzelci, O.Z.	2022	CHAP	No encontrado	
Papadakis, D.S.	2022	JOUR	No encontrado	
Cirus, L.	2022	CONF	No encontrado	
Hammond, T.C.	2022	CHAP	No encontrado	
Herro, D.	2022	JOUR	No encontrado	
Ito, K.	2022	CONF	No encontrado	
Kassa, E.A.	2022	JOUR	No encontrado	
Gangle, R.	2022	CHAP	No encontrado	
Wang, J.	2022	JOUR	No encontrado	
Tang, F.	2022	JOUR	No encontrado	
Wang, X.Y.	2022	JOUR	No encontrado	
Zhang, L.	2022	CONF	No encontrado	
Zarkadoula, K.	2022	CONF	No encontrado	
Kaup, C.F.	2022	CONF	No encontrado	
Oldham, E.	2022	CHAP	No encontrado	
Rich, P.	2022	CHAP	No encontrado	
Ismail, R.	2022	CONF	No encontrado	
Bati, K.	2022	JOUR	No encontrado	
Lee, S.J.	2022	JOUR	No encontrado	
Karaca, Y.	2022	BOOK	No encontrado	
Namli, N.A.	2022	JOUR	No encontrado	
ElShishtawy, N.	2022	JOUR	No encontrado	
Al-Momani, M.M.	2022	CONF	No encontrado	
Reitenbach, M.	2022	JOUR	No encontrado	
Gulotta, T.M.	2022	JOUR	No encontrado	
Kasibhatla, R.	2022	CONF	No encontrado	
Jimenez Toledo, J.A.	2022	JOUR	No encontrado	
Zhao, D.	2022	CONF	No encontrado	
Labanda-Jaramillo, M.	2022	CONF	No encontrado	
Saito, T.	2022	CONF	No encontrado	
Eloy, A.	2022	JOUR	No encontrado	
da Silva Filho, O.L.	2022	JOUR	No encontrado	
van der Linde, S.	2022	CONF	No encontrado	
Xiong, H.	2022	JOUR	No encontrado	
Huang, Y.-P.	2022	JOUR	No encontrado	
Tengler, K.	2022	JOUR	No encontrado	
Gryzun, L.E.	2022	CONF	No encontrado	
Smith, S.	2022	CONF	No encontrado	
Dagienė, V.	2022	JOUR	No encontrado	
Zhang, L.	2022	CONF	No encontrado	
Ferman, V.A.	2022	CONF	No encontrado	
Lockwood, E.	2022	JOUR	No encontrado	
Takács, V.L.	2022	JOUR	No encontrado	
Nagy, T.K.	2022	JOUR	No encontrado	
Xing, D.	2022	JOUR	No encontrado	
Sovey, S.	2022	JOUR	No encontrado	
Carmona, G.	2022	CONF	No encontrado	
Sibgatullin, I.R.	2022	JOUR	No encontrado	
Trad, F.	2022	CONF	No encontrado	
Galoyan, T.	2022	JOUR	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Prommun, P.	2022	JOUR	No encontrado	
Souza, I.M.L.	2022	JOUR	No encontrado	
Jawawi, D.N.A.	2022	JOUR	No encontrado	
Terroba, M.	2022	JOUR	No encontrado	
Hanid, M.F.A.	2022	JOUR	No encontrado	
Uribe-Saldarriaga, C.M.	2022	CHAP	No encontrado	
Xu, R.	2022	JOUR	No encontrado	
Triswidrananta, O.D.	2022	JOUR	No encontrado	
Villalba Condori, K.O.	2022	CHAP	No encontrado	
Moreno-Guerrero, A.J.	2022	JOUR	No encontrado	
Kounte, M.R.	2022	CONF	No encontrado	
Andrienko, N.	2022	JOUR	No encontrado	
Ekelschot, D.	2022	CONF	No encontrado	
Sauter, T.	2022	JOUR	No encontrado	
Bradshaw, K.	2022	CONF	No encontrado	
Psycharis, S.	2022	CONF	No encontrado	
Qureshi, M.B.	2022	JOUR	No encontrado	
Papadakis, S.	2022	CHAP	No encontrado	
Álvarez-Herrero, J.-F.	2022	CHAP	No encontrado	
Gan, S.K.-E.	2022	JOUR	No encontrado	
Francis, A.	2022	JOUR	No encontrado	
Fielding, K.	2022	JOUR	No encontrado	
Kumar, N.	2022	CONF	No encontrado	
Al Redhaei, A.	2022	CONF	No encontrado	
Laura-Ochoa, L.	2022	JOUR	No encontrado	
Zang, S.	2022	JOUR	No encontrado	
Villa-Ochoa, J.A.	2022	CONF	No encontrado	
Su, J.	2022	JOUR	No encontrado	
Sigahi, T.F.A.C.	2022	JOUR	No encontrado	
Abraham, B.J.	2022	CHAP	No encontrado	
Papadopoulou, F.	2022	CONF	No encontrado	
Shahin, M.	2022	JOUR	No encontrado	
Tengler, K.	2022	JOUR	No encontrado	
Li, B.	2022	JOUR	No encontrado	
Sukirman, S.	2022	JOUR	No encontrado	
Yoon, C.S.	2022	JOUR	No encontrado	
Manfra, M.M.	2022	JOUR	No encontrado	
Adnan, A.	2022	CHAP	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Li, J.	2022	JOUR	No encontrado	
Akanmu, A.A.	2022	CONF	No encontrado	
Hu, C.-C.	2022	CONF	No encontrado	
Chookaew, S.	2022	JOUR	No encontrado	
No encontrado	2022	JOUR	No encontrado	
Morze, N.	2022	CONF	No encontrado	
McGowan, V.C.	2022	JOUR	No encontrado	
Brooker, P.	2022	JOUR	No encontrado	
No encontrado	2022	CONF	No encontrado	
Kanaki, K.	2022	JOUR	No encontrado	
Paucar-Curasma, R.	2022	JOUR	No encontrado	
Geng, J.	2022	JOUR	No encontrado	
Hudson, M.-A.	2022	JOUR	No encontrado	
Isaeva, E.	2022	CONF	No encontrado	
Fried, D.	2022	JOUR	No encontrado	
Chen, Y.	2022	JOUR	No encontrado	
Vermeulen, E.	2022	JOUR	No encontrado	
Keravnou-Papailiou, E.	2022	JOUR	No encontrado	
Debnath, R.	2022	JOUR	No encontrado	
Niemelä, P.	2022	CONF	No encontrado	
Papadakis, S.	2022	JOUR	No encontrado	
Akkaya, A.	2022	JOUR	No encontrado	
Pandey, S.K.	2022	CONF	No encontrado	
Černochová, M.	2022	CONF	No encontrado	
Osinga, S.A.	2022	JOUR	No encontrado	
Zhu, P.	2022	JOUR	No encontrado	
Acevedo-Borrega, J.	2022	JOUR	No encontrado	
Masters, H.	2022	JOUR	No encontrado	
Gao, W.	2022	JOUR	No encontrado	
Prado, Y.	2022	JOUR	No encontrado	
Khan, K.	2021	CONF	No encontrado	
Bai, H.	2021	JOUR	No encontrado	
Basson, I.	2021	JOUR	No encontrado	
Ogegbo, A.A.	2022	JOUR	No encontrado	
Araya, R.	2021	JOUR	No encontrado	
Aleyaasin, M.	2022	JOUR	No encontrado	
No encontrado	2021	CONF	No encontrado	
Douglass, H.	2022	JOUR	No encontrado	
Satavlekar, S.	2021	CONF	No encontrado	
Lou, S.	2022	JOUR	No encontrado	
Xu, S.	2021	JOUR	No encontrado	
Tupouniua, J.G.	2022	JOUR	No encontrado	
Lai, X.	2022	JOUR	No encontrado	
Wang, W.	2021	CONF	No encontrado	
Shen, J.	2022	JOUR	No encontrado	
Hogenboom, S.A.M.	2022	JOUR	No encontrado	
Lisborg, S.	2021	JOUR	No encontrado	
Quiroz-Vallejo, D.A.	2021	JOUR	No encontrado	
Özcan, M.Ş.	2021	JOUR	No encontrado	
Dagli, Z.	2022	JOUR	No encontrado	
Poole, F.J.	2022	JOUR	No encontrado	
Fazi, M.B.	2021	JOUR	No encontrado	
