Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
Zhang, Z.	2021	CONF	No encontrado	No encontrado	American Society of Mechanical Engineers (ASME)	Scopus	0
Šiaulys, T.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Rahman, M.H.	2021	CONF	No encontrado	No encontrado	American Society of Mechanical Engineers (ASME)	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Addone, A.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Vaňková, P.	2021	CONF	No encontrado	No encontrado	Academic Conferences and Publishing International Limited	Scopus	0
Johnson, C.A.N.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Kanellopoulou, I.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Emara, M.	2021	JOUR	No encontrado	No encontrado	UTS ePRESS	Scopus	0
Bogliolo, A.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Smith, A.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Qian, B.	2021	CONF	No encontrado	No encontrado	American Society of Mechanical Engineers (ASME)	Scopus	0
Almeda, M.V.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Tan, W.-L.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Jocius, R.	2021	JOUR	No encontrado	No encontrado	International Forum of Educational Technology,National Taiwan Normal Universityand Society,	Scopus	0
El Mawas, N.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Laurentiz, S.	2021	JOUR	No encontrado	No encontrado	CSIC Consejo Superior de Investigaciones Cientificas	Scopus	0
Taylor, S.	2021	BOOK	No encontrado	No encontrado	Taylor and Francis	Scopus	0
Dagienė, V.	2021	JOUR	No encontrado	No encontrado	Vilnius University Institute of Data Science and Digital Technologies	Scopus	0
Wu, Y.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Vaníček, J.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Lin, J.-M.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Srikan, P.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Ho, W.K.	2021	CHAP	No encontrado	No encontrado	World Scientific Publishing Co.	Scopus	0
Ke, F.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Brown, D.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Badioze Zaman, H.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Polledo, E.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Datzko, C.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Fan, J.	2021	JOUR	No encontrado	No encontrado	University of Pennsylvania Press	Scopus	0
Minai, A.A.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Montariol, S.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kaurav, S.	2021	CONF	No encontrado	No encontrado	Florida Online Journals, University of Florida	Scopus	0
Markanday, A.	2021	CHAP	No encontrado	No encontrado	Springer Nature	Scopus	0
Zhu, Y.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Grgurina, N.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Deane, G.	2021	JOUR	No encontrado	No encontrado	Oxford University Press	Scopus	0
Hu, D.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
Csernoch, M.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Hinterplattner, S.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Li, R.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Supaluk, S.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Adams, E.L.	2021	CONF	No encontrado	No encontrado	The Education University of Hong Kong	Scopus	0
Laban, P.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
da Silva, T.S.C.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Fattizzo, T.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Stupurienė, G.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Leow, W.M.F.	2021	CONF	No encontrado	No encontrado	The Education University of Hong Kong	Scopus	0
Lim, J.	2021	JOUR	No encontrado	No encontrado	Insight Society	Scopus	0
Israel, M.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Birney, L.	2021	JOUR	No encontrado	No encontrado	Sciedu Press	Scopus	0
De Garrido, L.	2021	JOUR	No encontrado	No encontrado	Universidad Internacional de la Rioja	Scopus	0
Habib, M.A.	2021	JOUR	No encontrado	No encontrado	Turkiye Klinikleri	Scopus	0
Büyükyazgan, Z.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Nutz, M.	2021	CONF	No encontrado	No encontrado	Dechema e.V.	Scopus	0
Betz, G.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
Junruang, C.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Puccinelli, D.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Majgaard, G.	2021	CONF	No encontrado	No encontrado	Dechema e.V.	Scopus	0
No encontrado	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Rager, C.	2021	JOUR	No encontrado	No encontrado	University of California, Los Angeles	Scopus	0
Geldenhuys, C.J.	2021	JOUR	No encontrado	No encontrado	South African Journal Of Education	Scopus	0
Buhl, M.	2021	CONF	No encontrado	No encontrado	Academic Conferences and Publishing International Limited	Scopus	0
Martin, A.	2021	JOUR	No encontrado	No encontrado	Alliance of Digital Humanities Organisations	Scopus	0
Minai, A.A.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Bers, M.U.	2021	JOUR	No encontrado	No encontrado	Universidad de Sevilla	Scopus	0
IONESCU, A.	2021	JOUR	No encontrado	No encontrado	Accademia Peloritana dei Pericolanti	Scopus	0
Swaid, S.I.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Santo, R.	2021	CHAP	No encontrado	No encontrado	Taylor and Francis	Scopus	0
Tengler, K.	2021	CONF	No encontrado	No encontrado	Science and Technology Publications, Lda	Scopus	0
Pazzaglia, P.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Mohamed Salleh, F.H.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Bonani, A.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Arrivabeni, E.B.	2021	CONF	No encontrado	No encontrado	PoPuPS (University of LiFge Library)	Scopus	0
Yunus, E.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Cannone, L.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Fracchiolla, C.	2021	CONF	No encontrado	No encontrado	American Association of Physics Teachers	Scopus	0
Song, H.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Johnson, K.N.	2021	JOUR	No encontrado	No encontrado	Sweet and Maxwell-Thomson Reuters	Scopus	0
Drot-Delange, B.	2021	JOUR	No encontrado	No encontrado	Institut National de Recherche Pedagogique	Scopus	0
Chung, C.-Y.	2021	JOUR	No encontrado	No encontrado	Australasian Society for Computers in Learning in Tertiary Education (ASCILITE)	Scopus	0
Tengler, K.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Lee, L.-K.	2021	CONF	No encontrado	No encontrado	Inderscience Publishers	Scopus	0
Mecca, G.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Paleczek, L.	2021	CONF	No encontrado	No encontrado	Academic Conferences and Publishing International Limited	Scopus	0
Humble, N.	2021	CONF	No encontrado	No encontrado	Academic Conferences and Publishing International Limited	Scopus	0
No encontrado	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Barradas, R.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Lee, K.	2021	JOUR	No encontrado	No encontrado	Politeknik Negeri Padang	Scopus	0
Greenwald, E.	2021	CONF	No encontrado	No encontrado	Association for the Advancement of Artificial Intelligence	Scopus	0
Shabihi, N.	2021	CONF	No encontrado	No encontrado	Academic Conferences and Publishing International Limited	Scopus	0
Jarungsiraway, N.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Chou, P.-N.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Humble, N.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Stepanyan, I.V.	2021	JOUR	No encontrado	No encontrado	Izmerov Research Institute of Occupational Medicine	Scopus	0
Kwak, C.-J.	2021	JOUR	No encontrado	No encontrado	Publishing House of the Romanian Academy	Scopus	0
Denning, P.J.	2021	JOUR	No encontrado	No encontrado	Vilnius University Institute of Data Science and Digital Technologies	Scopus	0
Erstad, O.	2021	JOUR	No encontrado	No encontrado	Universitetsforlaget AS	Scopus	0
Giannakoulas, A.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Rottenhofer, M.	2021	JOUR	No encontrado	No encontrado	De Gruyter Open Ltd	Scopus	0
Guenaga, M.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Yani Achsan, H.T.	2021	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
Tzagkaraki, E.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Monteiro, A.F.	2021	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Burlin, L.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Connolly, C.	2021	JOUR	No encontrado	No encontrado	IGI Global	Scopus	0
Kite, V.	2021	JOUR	No encontrado	No encontrado	SAGE Publications Inc.	Scopus	0
Kenderdine, S.	2021	JOUR	No encontrado	No encontrado	University of Leicester	Scopus	0
Ayağ, Z.	2021	JOUR	No encontrado	No encontrado	Emerald Group Holdings Ltd.	Scopus	0
Tsatse, A.	2021	CHAP	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Priyanka, E.B.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Huang, H.	2021	JOUR	No encontrado	No encontrado	Inderscience Publishers	Scopus	0
Bergande, B.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kelkar, A.	2021	CONF	No encontrado	No encontrado	International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)	Scopus	0
Temerbekova, A.A.	2021	CONF	No encontrado	No encontrado	CEUR-WS	Scopus	0
Threekunprapa, A.	2021	JOUR	No encontrado	No encontrado	Inderscience Publishers	Scopus	0
Chondrogiannis, E.	2021	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Yang, D.	2021	JOUR	No encontrado	No encontrado	Lectito	Scopus	0
Miller, E.S.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Komendant-Brodowska, A.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media B.V.	Scopus	0
Araya, R.	2021	CONF	No encontrado	No encontrado	Psychology of Mathematics Education (PME)	Scopus	0
Horton, N.J.	2021	JOUR	No encontrado	No encontrado	Taylor and Francis Ltd.	Scopus	0
Wilson, J.	2021	CHAP	No encontrado	No encontrado	Taylor and Francis	Scopus	0
Negrini, L.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Madden, S.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Montiel, H.	2021	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Saidin, N.D.	2021	JOUR	No encontrado	No encontrado	International Journal of Information and Education Technology	Scopus	0
Bati, K.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Moller, F.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Arini, H.M.	2021	CONF	No encontrado	No encontrado	Operational Research Society	Scopus	0
Soboleva, E.V.	2021	JOUR	No encontrado	No encontrado	LLC Ecological Help	Scopus	0
Brandhofer, G.	2021	CONF	No encontrado	No encontrado	IADIS Press	Scopus	0
Baryshnikov, P.N.	2021	JOUR	No encontrado	No encontrado	Institute of Philosophy, Russian Academy of Sciences	Scopus	0
Amnouychokanant, V.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Maraza-Quispe, B.	2021	JOUR	No encontrado	No encontrado	Science and Information Organization	Scopus	0
Coetzee, C.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Wendrich, R.E.	2021	JOUR	No encontrado	No encontrado	CAD Solutions, LLC	Scopus	0
Pörn, R.	2021	JOUR	No encontrado	No encontrado	University of Helsinki	Scopus	0
Li, Y.	2021	JOUR	No encontrado	No encontrado	SAGE Publications Ltd	Scopus	0
Li, B.	2021	JOUR	No encontrado	No encontrado	Hindawi Limited	Scopus	0
Bickley, S.J.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Theodoropoulos, A.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Zapata-Caceres, M.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Testov, V.A.	2021	JOUR	No encontrado	No encontrado	Russian State Vocational Pedagogical University	Scopus	0
Veerasamy, A.K.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Shin, S.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
En, L.K.	2021	JOUR	No encontrado	No encontrado	Penerbit Universiti Sains Malaysia	Scopus	0
Tedre, M.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Hsu, T.-C.	2021	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Alam, M.N.H.Z.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Adams, B.	2021	JOUR	No encontrado	No encontrado	Taylor and Francis Ltd.	Scopus	0
Kristensen, K.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Huang, S.-B.	2021	JOUR	No encontrado	No encontrado	Taiwan Academic Network Management Committee	Scopus	0
Lin, K.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Liang, S.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Soboleva, E.V.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Alfayez, A.A.	2021	JOUR	No encontrado	No encontrado	King Faisal University	Scopus	0
Kelly, N.	2021	JOUR	No encontrado	No encontrado	Cambridge University Press	Scopus	0
Ito, H.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
He, Z.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kiwelekar, A.W.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Zieffler, A.	2021	JOUR	No encontrado	No encontrado	Taylor and Francis Ltd.	Scopus	0
Smith, J.M.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Feng, F.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
Weintrop, D.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Venkatesh, P.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Araya, R.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Cruz Castro, L.M.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Xie, Y.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Shukshina, L.V.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Panskyi, T.	2021	JOUR	No encontrado	No encontrado	Vilnius University Institute of Data Science and Digital Technologies	Scopus	0
Ntourou, V.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Juca-Aulestia, M.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Wu, S.-Y.	2021	JOUR	No encontrado	No encontrado	Taiwan Academic Network Management Committee	Scopus	0
Chongo, S.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Díaz, J.	2021	CONF	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Gratani, F.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Takemata, K.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Sobral, S.R.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Shen, Y.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
Ocampo-López, C.	2021	CONF	No encontrado	No encontrado	University of Minho	Scopus	0
Kuhail, M.A.	2021	JOUR	No encontrado	No encontrado	World Institute for Engineering and Technology Education	Scopus	0
Gane, B.D.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Rafiepour, A.	2021	JOUR	No encontrado	No encontrado	Sriwijaya University	Scopus	0
Jamal, N.N.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Fraser, K.C.	2021	CONF	No encontrado	No encontrado	Association for Computational Linguistics (ACL)	Scopus	0
An, X.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
Olsson, J.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Kanellopoulou, I.	2021	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Nixon, J.	2021	JOUR	No encontrado	No encontrado	Purdue University Press	Scopus	0
Lee, D.C.B.	2021	CHAP	No encontrado	No encontrado	American Chemical Society	Scopus	0
Christidou, D.	2021	JOUR	No encontrado	No encontrado	Emerald Group Holdings Ltd.	Scopus	0
Rungrangtanapol, N.	2021	JOUR	No encontrado	No encontrado	International Association of Online Engineering	Scopus	0
No encontrado	2021	CONF	No encontrado	No encontrado	IADIS Press	Scopus	0
Katai, Z.	2021	JOUR	No encontrado	No encontrado	Universidad de Alicante	Scopus	0
O’Leary, J.	2021	CHAP	No encontrado	No encontrado	Oxford University Press	Scopus	0
Cheng, Y.-H.	2021	CONF	No encontrado	No encontrado	ALife Robotics Corporation Ltd	Scopus	0
Jeon, A.-J.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Glezou, K.V.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Rosenberg, A.L.	2020	BOOK	No encontrado	No encontrado	Springer International Publishing	Scopus	0
Yilmaz Ince, E.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Weintrop, D.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Jindal, S.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Blancas, M.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Albayrak de Brito Colaço, C.	2021	CHAP	No encontrado	No encontrado	Springer Nature	Scopus	0
Phetsrikran, T.	2021	JOUR	No encontrado	No encontrado	ICIC International	Scopus	0
Ong, S.L.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Bråting, K.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Dapozo, G.N.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Clarke-Midura, J.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Castro, A.T.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Basu, S.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Jie, H.	2021	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Fields, D.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Hinterplattner, S.	2020	JOUR	No encontrado	No encontrado	Common Ground Research Networks	Scopus	0
Teira-Lafuente, J.	2021	CONF	No encontrado	No encontrado	Springer	Scopus	0
Wei, X.	2021	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Metcalf, S.J.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Arroyo, A.C.	2021	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Liu, Z.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Leonard, A.E.	2021	JOUR	No encontrado	No encontrado	Bellwether Publishing, Ltd.	Scopus	0
Herro, D.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Tsakeni, M.	2021	JOUR	No encontrado	No encontrado	Modestum LTD	Scopus	0
Terzopoulos, G.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kawano, Y.	2021	CONF	No encontrado	No encontrado	Springer	Scopus	0
Haroldson, R.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Kim, D.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Bonner, S.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Leach, A.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Hooshyar, D.	2021	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Bauspies, P.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Wolfengagen, V.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Noor, F.H.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Ausiku, M.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Zhang, Y.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Ascione, F.	2021	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
González-González, C.S.	2021	JOUR	No encontrado	No encontrado	Univ Nacional de Educacion a Distancia (UNED)	Scopus	0
Dolgopolovas, V.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Hegde, V.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Seo, J.-H.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Csapó, G.	2021	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Klunnikova, M.M.	2020	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kızılcan, E.B.	2021	CHAP	No encontrado	No encontrado	Springer Nature	Scopus	0
Perine, L.A.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Wei, H.	2020	JOUR	No encontrado	No encontrado	Editorial and Publishing Board of JIG	Scopus	0
Antoni, Ľ.	2021	CONF	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
D’Angelo, M.	2021	CONF	No encontrado	No encontrado	Springer	Scopus	0
Gopinath, B.	2021	JOUR	No encontrado	No encontrado	Sage Publications India Pvt. Ltd	Scopus	0
Pala, F.K.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Urbikain, G.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Taylor, N.J.	2021	CONF	No encontrado	No encontrado	American Institute of Aeronautics and Astronautics Inc, AIAA	Scopus	0
Kandemir, C.M.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Israel-Fishelson, R.	2021	JOUR	No encontrado	No encontrado	SAGE Publications Inc.	Scopus	0
O'Shea, E.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Aju, D.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Foote, J.	2021	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Chen, Y.	2020	JOUR	No encontrado	No encontrado	Editorial Board of Medical Journal of Wuhan University	Scopus	0
Xing, W.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Tsolakis, S.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Zeradjanin, A.R.	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Sáez López, J.M.	2021	JOUR	No encontrado	No encontrado	Ibero-American Association for Distance Higher Education (AIESAD)	Scopus	0
Angelopoulos, P.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Kiverstein, J.	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media B.V.	Scopus	0
Chen, Y.	2021	JOUR	No encontrado	No encontrado	Old City Publishing	Scopus	0
Lin, Y.-T.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Juškevičienė, A.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Lyon, J.A.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Lin, Z.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Drobot, A.T.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Borrego, D.	2021	CONF	No encontrado	No encontrado	Springer	Scopus	0
Kim, J.A.	2021	CHAP	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
